location_station_id,location_station_name,location_province,location_district,location_latitude,location_longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,y_true,y_pred,abs_err
KG_PQ,Huyện Phú Quốc - Kiên Giang,Kiên Giang,Phú Quốc,10.227,103.9679,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,28.8,32.0,26.5,28.2,71.0,87.0,52.0,76.2,1011.4,1014.5,1006.3,1010.5,13.1,16.3,0.0,7.0,111.0,140.9,0.0,2.1,0.0,0.6,13.4,51.0,73.0,11.0,33.0,6.0,11.0,6.0,12.0,26.0,13.4,0.4346978266335636,12.965302173366437
TQ_LB,Huyện Lâm Bình - Tuyên Quang,Tuyên Quang,Lâm Bình,22.4667,105.2167,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,23.8,26.1,18.1,20.6,77.0,98.0,65.0,88.0,1016.1,1023.5,1007.9,1016.3,4.1,7.6,0.8,3.5,225.0,164.5,0.0,1.1,0.0,0.5,11.1,34.0,79.0,37.0,46.0,6.0,20.0,6.0,8.0,6.0,11.1,0.46329972306860095,10.636700276931398
HG_HG,Thành phố Hà Giang - Hà Giang,Hà Giang,Hà Giang,22.8233,104.9836,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,22.2,23.9,16.0,18.8,79.0,99.0,71.0,90.7,1017.0,1023.7,1008.3,1016.8,6.1,12.5,1.5,6.5,130.0,155.5,0.0,0.9,0.0,0.4,10.2,43.0,87.0,35.0,57.0,7.0,14.0,5.0,7.0,1.0,10.2,0.5148933900953865,9.685106609904613
Bằng Vân,Bằng Vân,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,10.8,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,10.8,1.1369743843631641,9.663025615636837
Trung Tâm 2,Trung Tâm 2,Yên Bái,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,10.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,10.0,0.5477560582318087,9.452243941768192
QN_TC,Thành phố Tam Kỳ - Quảng Nam,Quảng Nam,Tam Kỳ,15.5667,108.4833,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,28.3,29.4,17.8,23.5,62.0,100.0,58.0,84.7,1014.4,1020.3,1008.8,1015.0,9.0,16.0,0.4,6.0,74.0,90.0,0.0,0.8,0.0,0.4,9.8,49.0,64.0,12.0,35.0,9.0,10.0,4.0,6.0,2.0,9.8,0.42146655648916953,9.37853344351083
QN_QN,Thành phố Quảng Ngãi - Quảng Ngãi,Quảng Ngãi,Quảng Ngãi,15.1167,108.8,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,28.8,29.3,18.4,23.9,61.0,99.0,56.0,82.4,1013.9,1019.9,1008.8,1015.0,9.6,15.3,0.5,6.0,77.0,7.6,0.0,0.8,0.0,0.4,9.6,40.0,93.0,10.0,61.0,7.0,12.0,2.0,11.0,4.0,9.6,0.4245066371641786,9.175493362835821
QN_QN,Thành phố Quảng Ngãi - Quảng Ngãi,Quảng Ngãi,Quảng Ngãi,15.1167,108.8,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,28.3,29.3,18.4,23.9,62.0,99.0,56.0,82.4,1014.5,1019.9,1008.8,1015.0,7.5,15.3,0.5,6.0,73.0,7.6,0.0,0.8,0.0,0.4,9.6,50.0,61.0,12.0,52.0,7.0,14.0,8.0,7.0,16.0,9.6,0.4286394350588968,9.171360564941104
Nông Thịnh,Nông Thịnh,Bắc Kạn,Châu Thành,13.2167,106.3366,2026-02-16 09:36:00,openmeteo,medium,2026-02-16 09:36:00,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,10.6,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0,10.6,1.5318588650468477,9.068141134953152
BK_PT,Huyện Pác Nặm - Bắc Kạn,Bắc Kạn,Pác Nặm,22.6333,105.6667,2026-02-16 09:37:00,openmeteo,medium,2026-02-16 09:37:00,23.4,25.5,17.4,19.9,75.0,100.0,66.0,86.8,1016.5,1023.6,1008.1,1016.6,5.0,9.4,0.4,4.4,210.0,172.2,0.0,0.9,0.0,0.4,9.9,73.0,65.0,32.0,54.0,11.0,14.0,8.0,6.0,26.0,9.9,1.2727719747491688,8.627228025250831
