station_id,station_name,province,province_std,district,latitude,longitude,timestamp,data_time,data_source,data_quality,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability,status,_source_file,_file_date,error_reason,_province_std
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 12:14:45,2026-03-09 12:00:00,openmeteo,medium,30.4,31.9,24.0,27.2,63.0,93.0,47.0,72.2,1012.3,1014.7,1008.9,1011.8,16.1,28.2,6.6,15.9,70.0,84.3,0.0,0.3,0.0,0.0,0.4,35.0,71.0,28.0,55.0,12.0,10.0,2.0,12.0,25.0,,Bao_cao_20260309_121514.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 12:17:07,2026-03-09 12:15:00,openmeteo,medium,30.6,32.2,23.9,27.3,63.0,93.0,45.0,71.7,1012.1,1014.7,1008.9,1011.8,13.7,27.4,6.5,14.9,72.0,85.6,0.0,0.2,0.0,0.0,0.6,47.0,68.0,15.0,41.0,13.0,20.0,2.0,8.0,13.0,,Bao_cao_20260309_121741.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 12:17:09,2026-03-09 12:15:00,openmeteo,medium,30.7,32.6,23.2,27.2,63.0,96.0,45.0,72.8,1012.0,1014.7,1008.6,1011.8,9.4,25.0,5.1,12.0,67.0,87.4,0.0,0.3,0.0,0.1,1.5,67.0,92.0,23.0,68.0,9.0,16.0,5.0,8.0,2.0,,Bao_cao_20260309_121741.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 12:17:11,2026-03-09 12:15:00,openmeteo,medium,30.6,31.9,24.0,27.2,62.0,93.0,47.0,72.2,1012.1,1014.7,1008.9,1011.8,15.9,28.2,6.6,15.9,72.0,84.3,0.0,0.3,0.0,0.0,0.4,21.0,76.0,16.0,39.0,7.0,17.0,4.0,12.0,27.0,,Bao_cao_20260309_121741.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 13:17:54,2026-03-09 13:15:00,openmeteo,medium,31.0,32.2,23.9,27.3,58.0,93.0,45.0,71.7,1011.3,1014.7,1008.9,1011.8,14.3,27.4,6.5,14.9,80.0,85.6,0.0,0.2,0.0,0.0,0.6,31.0,74.0,34.0,59.0,7.0,10.0,6.0,12.0,21.0,,Bao_cao_20260309_131827.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 13:17:56,2026-03-09 13:15:00,openmeteo,medium,31.0,32.6,23.2,27.2,61.0,96.0,45.0,72.8,1011.3,1014.7,1008.6,1011.8,9.0,25.0,5.1,12.0,74.0,87.4,0.0,0.3,0.0,0.1,1.5,54.0,75.0,36.0,53.0,11.0,15.0,4.0,6.0,11.0,,Bao_cao_20260309_131827.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 13:17:58,2026-03-09 13:15:00,openmeteo,medium,30.9,31.9,24.0,27.2,58.0,93.0,47.0,72.2,1011.4,1014.7,1008.9,1011.8,16.6,28.2,6.6,15.9,77.0,84.3,0.0,0.3,0.0,0.0,0.4,42.0,92.0,35.0,33.0,13.0,14.0,7.0,6.0,20.0,,Bao_cao_20260309_131827.xlsx,20260309,,Tra Vinh
TV_TV,Thành phố Trà Vinh - Trà Vinh,Trà Vinh,Tra Vinh,Trà Vinh,9.9347,106.3453,2026-03-09 13:44:23,2026-03-09 13:30:00,openmeteo,medium,31.0,32.2,23.9,27.3,58.0,93.0,45.0,71.7,1011.2,1014.7,1008.9,1011.8,14.6,27.4,6.5,14.9,81.0,85.6,0.0,0.2,0.0,0.0,0.6,75.0,83.0,36.0,59.0,8.0,13.0,4.0,7.0,6.0,,Bao_cao_20260309_134457.xlsx,20260309,,Tra Vinh
TV_CL,Huyện Càng Long - Trà Vinh,Trà Vinh,Tra Vinh,Càng Long,9.9667,106.2,2026-03-09 13:44:26,2026-03-09 13:30:00,openmeteo,medium,31.1,32.6,23.2,27.2,61.0,96.0,45.0,72.8,1011.2,1014.7,1008.6,1011.8,9.2,25.0,5.1,12.0,79.0,87.4,0.0,0.3,0.0,0.1,1.5,25.0,83.0,19.0,69.0,9.0,12.0,4.0,7.0,5.0,,Bao_cao_20260309_134457.xlsx,20260309,,Tra Vinh
TV_CN,Huyện Cầu Ngang - Trà Vinh,Trà Vinh,Tra Vinh,Cầu Ngang,9.8,106.4333,2026-03-09 13:44:28,2026-03-09 13:30:00,openmeteo,medium,30.9,31.9,24.0,27.2,57.0,93.0,47.0,72.2,1011.3,1014.7,1008.9,1011.8,16.9,28.2,6.6,15.9,79.0,84.3,0.0,0.3,0.0,0.0,0.4,67.0,92.0,27.0,44.0,13.0,19.0,6.0,6.0,22.0,,Bao_cao_20260309_134457.xlsx,20260309,,Tra Vinh
