station_id,station_name,province,district,rain_total,status,timestamp,data_time
An Hảo,An Hảo,An_Giang,xã Núi Cấm,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Hội An,Hội An,An_Giang,xã Hội An,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Hồ Ô Thum,Hồ Ô Thum,An_Giang,xã Ô Lâm,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Hồ Núi Dài 2,Hồ Núi Dài 2,An_Giang,xã Ba Chúc,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Cô Tô,Cô Tô,An_Giang,xã Cô Tô,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Vĩnh Điền,Vĩnh Điền,An_Giang,xã An Biên,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Thới Sơn,Thới Sơn,An_Giang,phường Thới Sơn,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Tấn Mỹ,Tấn Mỹ,An_Giang,xã Cù Lao Giêng,0.0,Không mưa,19/03/2026 22:28,19/03/2026 22:28:43
Bãi Thơm,Bãi Thơm,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
An Thới,An Thới,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Cửa Cạn,Cửa Cạn,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Lại Sơn,Lại Sơn,An_Giang,đặc khu Kiên Hải,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Thuận Hòa,Thuận Hòa,An_Giang,xã Tân Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
An Ninh KV3,An Ninh KV3,An_Giang,xã An Minh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Vĩnh Thuận,Vĩnh Thuận,An_Giang,xã Vĩnh Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Gò Quao,Gò Quao,An_Giang,xã Gò Quao,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Vĩnh Xương,Vĩnh Xương,An_Giang,xã Vĩnh Xương,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Vĩnh Hoà Hưng,Vĩnh Hoà Hưng,An_Giang,xã Vĩnh Hòa Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Tà Lọt,Tà Lọt,An_Giang,xã Núi Cấm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Hồ Soài Check,Hồ Soài Check,An_Giang,xã Tri Tôn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Nhơn Hội,Nhơn Hội,An_Giang,xã Nhơn Hội,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Châu Phong,Châu Phong,An_Giang,xã Châu Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Giồng Riềng,Giồng Riềng,An_Giang,xã Thạnh Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
An Nông,An Nông,An_Giang,phường Tịnh Biên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Núi Sập,Núi Sập,An_Giang,xã Thoại Sơn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Tri Tôn,Tri Tôn,An_Giang,xã Hòn Đất,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Mỹ Hội Đông,Mỹ Hội Đông,An_Giang,xã Nhơn Mỹ,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
An Hảo,An Hảo,An_Giang,xã Núi Cấm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Hội An,Hội An,An_Giang,xã Hội An,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Hồ Ô Thum,Hồ Ô Thum,An_Giang,xã Ô Lâm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Hồ Núi Dài 2,Hồ Núi Dài 2,An_Giang,xã Ba Chúc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Cô Tô,Cô Tô,An_Giang,xã Cô Tô,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Vĩnh Điền,Vĩnh Điền,An_Giang,xã An Biên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Thới Sơn,Thới Sơn,An_Giang,phường Thới Sơn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Tấn Mỹ,Tấn Mỹ,An_Giang,xã Cù Lao Giêng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:41:44
Bãi Thơm,Bãi Thơm,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
An Thới,An Thới,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Cửa Cạn,Cửa Cạn,An_Giang,đặc khu Phú Quốc,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Lại Sơn,Lại Sơn,An_Giang,đặc khu Kiên Hải,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Thuận Hòa,Thuận Hòa,An_Giang,xã Tân Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
An Ninh KV3,An Ninh KV3,An_Giang,xã An Minh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Vĩnh Thuận,Vĩnh Thuận,An_Giang,xã Vĩnh Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Gò Quao,Gò Quao,An_Giang,xã Gò Quao,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Vĩnh Xương,Vĩnh Xương,An_Giang,xã Vĩnh Xương,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Vĩnh Hoà Hưng,Vĩnh Hoà Hưng,An_Giang,xã Vĩnh Hòa Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Tà Lọt,Tà Lọt,An_Giang,xã Núi Cấm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Hồ Soài Check,Hồ Soài Check,An_Giang,xã Tri Tôn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Nhơn Hội,Nhơn Hội,An_Giang,xã Nhơn Hội,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Châu Phong,Châu Phong,An_Giang,xã Châu Phong,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Giồng Riềng,Giồng Riềng,An_Giang,xã Thạnh Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
An Nông,An Nông,An_Giang,phường Tịnh Biên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
Núi Sập,Núi Sập,An_Giang,xã Thoại Sơn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 22:45:19
