station_id,station_name,province,district,rain_total,status,timestamp,data_time
Thạnh Lộc,Thạnh Lộc,Can_Tho,xã Vĩnh Thạnh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Giai Xuân,Giai Xuân,Can_Tho,xã Phong Điền,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Trường Long,Trường Long,Can_Tho,xã Trường Long,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Lợi,Vĩnh Lợi,Can_Tho,xã Vĩnh Lợi,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thới Hưng,Thới Hưng,Can_Tho,xã Thới Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
An Thạnh 3,An Thạnh 3,Can_Tho,xã Cù Lao Dung,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Đông Thuận,Đông Thuận,Can_Tho,xã Đông Thuận,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Châu Thành,Châu Thành,Can_Tho,xã Phú Tâm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tân Phú,Tân Phú,Can_Tho,phường Hưng Phú,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Bình Thủy,Bình Thủy,Can_Tho,phường Bình Thủy,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Trinh,Vĩnh Trinh,Can_Tho,xã Vĩnh Trinh,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Ngã Năm,Ngã Năm,Can_Tho,phường Ngã Năm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Rạch Gòi,Rạch Gòi,Can_Tho,xã Thạnh Xuân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Ô Môn,Ô Môn,Can_Tho,phường Phước Thới,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Kế Sách,Kế Sách,Can_Tho,xã Kế Sách,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vị Thanh,Vị Thanh,Can_Tho,xã Vị Thanh 1,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Đông Phước A,Đông Phước A,Can_Tho,xã Đông Phước,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thị trấn Một Ngàn,Thị trấn Một Ngàn,Can_Tho,xã Tân Hòa,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
