station_id,station_name,province,district,rain_total,status,timestamp,data_time
Đông Phước A,Đông Phước A,Cần Thơ,xã Đông Phước,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thị trấn Một Ngàn,Thị trấn Một Ngàn,Cần Thơ,xã Tân Hòa,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thốt Nốt,Thốt Nốt,Cần Thơ,phường Thuận Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Lâm trường Mùa Xuân,Lâm trường Mùa Xuân,Cần Thơ,xã Tân Phước Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Long Phú,Long Phú,Cần Thơ,phường Long Phú 1,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Đông Phước,Đông Phước,Cần Thơ,xã Đông Phước,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Trung,Vĩnh Trung,Cần Thơ,xã Vĩnh Tường,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Thuận Tây,Vĩnh Thuận Tây,Cần Thơ,xã Vĩnh Thuận Đông,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thuận Hưng,Thuận Hưng,Cần Thơ,xã Xà Phiên,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Tân Phú Thạnh,Tân Phú Thạnh,Cần Thơ,xã Thạnh Xuân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Vĩnh Viễn,Vĩnh Viễn,Cần Thơ,xã Vĩnh Viễn,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hỏa Tiến,Hỏa Tiến,Cần Thơ,xã Hỏa Lựu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hiệp Hưng,Hiệp Hưng,Cần Thơ,xã Hiệp Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Mái Dầm,Mái Dầm,Cần Thơ,xã Châu Thành,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hòa Mỹ,Hòa Mỹ,Cần Thơ,xã Phụng Hiệp,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Hòa An,Hòa An,Cần Thơ,xã Hòa An,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Lương Nghĩa,Lương Nghĩa,Cần Thơ,xã Lương Tâm,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Long Phú 2,Long Phú 2,Cần Thơ,xã Long Phú,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
"Phường 5, Vị Thanh","Phường 5, Vị Thanh",Cần Thơ,phường Vị Tân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Mỹ Tú,Mỹ Tú,Cần Thơ,xã Mỹ Tú,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
